Time,Alpha_Wave,Gamma_Wave,label
628,97.8,85.5,POSITIVE
628.5,97.9,85.5,POSITIVE
629,97.9,85.5,POSITIVE
629.5,97.9,85.5,POSITIVE
630,97.9,85.6,POSITIVE
630.5,97.9,85.6,POSITIVE
631,97.8,85.5,POSITIVE
631.5,97.8,85.5,POSITIVE
632,97.8,85.5,POSITIVE
632.5,97.8,85.5,POSITIVE
633,97.8,85.5,POSITIVE
633.5,97.8,85.6,POSITIVE
634,97.7,85.6,POSITIVE
634.5,97.7,85.6,POSITIVE
635,97.8,85.7,POSITIVE
635.5,97.7,85.7,POSITIVE
636,97.7,85.7,POSITIVE
636.5,97.7,85.6,POSITIVE
637,97.6,85.6,POSITIVE
637.5,97.6,85.6,POSITIVE
638,97.7,85.6,POSITIVE
638.5,97.8,85.8,POSITIVE
639,97.9,86.1,POSITIVE
639.5,97.9,86.3,POSITIVE
640,98,86.5,POSITIVE
640.5,98,86.7,POSITIVE
641,98,86.9,POSITIVE
641.5,97.9,87,POSITIVE
642,97.8,87.1,POSITIVE
642.5,97.8,87.1,POSITIVE
643,97.8,87.2,POSITIVE
643.5,97.9,87.3,POSITIVE
644,98.1,87.4,POSITIVE
644.5,98.2,87.5,POSITIVE
645,98.3,87.6,POSITIVE
645.5,98.4,87.7,POSITIVE
646,98.3,87.7,POSITIVE
646.5,98.3,87.8,POSITIVE
647,98.4,87.9,POSITIVE
647.5,98.4,88,POSITIVE
648,98.5,88,POSITIVE
648.5,98.6,88.1,POSITIVE
649,98.7,88.2,POSITIVE
649.5,98.8,88.4,POSITIVE
650,98.9,88.6,POSITIVE
650.5,98.9,88.8,POSITIVE
651,98.8,88.9,POSITIVE
651.5,98.8,89,POSITIVE
652,98.9,89,POSITIVE
652.5,98.9,89.2,POSITIVE
653,98.9,89.3,POSITIVE
653.5,98.9,89.5,POSITIVE
654,98.9,89.7,POSITIVE
654.5,98.9,89.8,POSITIVE
655,98.9,90,POSITIVE
655.5,99,90.1,NEUTRAL
656,99,90.2,NEUTRAL
656.5,99.1,90.4,NEUTRAL
657,99.2,90.6,NEUTRAL
657.5,99.3,90.8,NEUTRAL
658,99.4,91,NEUTRAL
658.5,99.5,91.1,NEUTRAL
659,99.6,91.3,NEUTRAL
659.5,99.8,91.6,NEUTRAL
660,99.9,91.8,NEUTRAL
660.5,100,92.1,NEUTRAL
661,100.1,92.3,NEUTRAL
661.5,100.1,92.5,NEUTRAL
662,100.2,92.5,NEUTRAL
662.5,100.2,92.5,NEUTRAL
663,100.3,92.5,NEUTRAL
663.5,100.3,92.6,NEUTRAL
664,100.4,92.7,NEUTRAL
664.5,100.5,92.8,NEUTRAL
665,100.7,92.9,NEUTRAL
665.5,100.8,93,NEUTRAL
666,100.9,93.1,NEUTRAL
666.5,100.9,93.2,NEUTRAL
667,100.9,93.3,NEUTRAL
667.5,100.9,93.4,NEUTRAL
668,100.8,93.5,NEUTRAL
668.5,100.8,93.7,NEUTRAL
669,100.8,93.7,NEUTRAL
669.5,100.9,93.8,NEUTRAL
670,100.9,93.8,NEUTRAL
670.5,101,93.9,NEUTRAL
671,101.1,94,NEGATIVE
671.5,101.1,94.2,NEGATIVE
672,101.1,94.3,NEGATIVE
672.5,101.1,94.5,NEGATIVE
673,101.1,94.5,NEGATIVE
673.5,101.2,94.6,NEGATIVE
674,101.3,94.6,NEGATIVE
674.5,101.4,94.7,NEGATIVE
675,101.5,94.8,NEGATIVE
675.5,101.6,94.9,NEGATIVE
676,101.6,94.9,NEGATIVE
676.5,101.7,95,NEGATIVE
677,101.8,95.1,NEGATIVE
677.5,102,95.1,NEGATIVE
678,102,95.1,NEGATIVE
678.5,102.1,95.1,NEGATIVE
679,102.1,95.1,NEGATIVE
679.5,102.1,95,NEGATIVE
680,102.1,94.9,NEGATIVE
680.5,102,94.8,NEGATIVE
681,102,94.7,NEGATIVE
681.5,101.9,94.6,NEGATIVE
682,101.9,94.5,NEGATIVE
682.5,101.8,94.3,NEGATIVE
683,101.7,94.2,NEGATIVE
683.5,101.5,94.1,NEGATIVE
684,101.4,94,NEGATIVE
684.5,101.4,94,NEGATIVE
685,101.4,94.1,NEGATIVE
685.5,101.3,94.2,NEGATIVE
686,101.3,94.2,NEGATIVE
686.5,101.3,94.3,NEGATIVE
687,101.4,94.3,NEGATIVE
687.5,101.4,94.4,NEGATIVE
688,101.4,94.4,NEGATIVE
688.5,101.4,94.4,NEGATIVE
689,101.4,94.5,NEGATIVE
689.5,101.3,94.6,NEGATIVE
690,101.3,94.7,NEGATIVE
690.5,101.3,94.8,NEGATIVE
691,101.4,94.8,NEGATIVE
691.5,101.5,94.9,NEGATIVE
692,101.5,94.9,NEGATIVE
692.5,101.5,94.9,NEGATIVE
693,101.5,94.8,NEGATIVE
693.5,101.5,94.8,NEGATIVE
694,101.5,94.8,NEGATIVE
694.5,101.4,94.8,NEGATIVE
695,101.4,94.7,NEGATIVE
695.5,101.3,94.7,NEGATIVE
696,101.4,94.6,NEGATIVE
696.5,101.4,94.6,NEGATIVE
697,101.4,94.6,NEGATIVE
697.5,101.4,94.7,NEGATIVE
698,101.5,94.8,NEGATIVE
698.5,101.6,94.8,NEGATIVE
699,101.6,94.8,NEGATIVE
699.5,101.6,94.7,NEGATIVE
700,101.5,94.6,NEGATIVE
700.5,101.5,94.6,NEGATIVE
701,101.5,94.5,NEGATIVE
701.5,101.5,94.6,NEGATIVE
702,101.5,94.6,NEGATIVE
702.5,101.6,94.6,NEGATIVE
703,101.7,94.6,NEGATIVE
703.5,101.8,94.8,NEGATIVE
704,101.9,94.9,NEGATIVE
704.5,101.9,95,NEGATIVE
705,102,95.1,NEGATIVE
705.5,102,95.2,NEGATIVE
706,102.1,95.4,NEGATIVE
706.5,102.2,95.5,NEGATIVE
707,102.3,95.5,NEGATIVE
707.5,102.4,95.5,NEGATIVE
708,102.4,95.4,NEGATIVE
708.5,102.4,95.4,NEGATIVE
709,102.4,95.3,NEGATIVE
709.5,102.4,95.2,NEGATIVE
710,102.4,95,NEGATIVE
710.5,102.3,94.9,NEGATIVE
711,102.2,94.8,NEGATIVE
711.5,102.2,94.7,NEGATIVE
712,102.1,94.6,NEGATIVE
712.5,101.9,94.5,NEGATIVE
713,101.9,94.4,NEGATIVE
713.5,101.9,94.3,NEGATIVE
714,101.9,94.3,NEGATIVE
714.5,101.8,94.2,NEGATIVE
715,101.7,94.2,NEGATIVE
715.5,101.6,94.2,NEGATIVE
716,101.5,94.1,NEGATIVE
716.5,101.5,94,NEGATIVE
717,101.4,94,NEGATIVE
717.5,101.4,94,NEGATIVE
718,101.4,93.9,NEGATIVE
718.5,101.4,93.9,NEGATIVE
719,101.4,93.9,NEGATIVE
719.5,101.4,93.9,NEGATIVE
720,101.4,93.8,NEGATIVE
720.5,101.3,93.6,NEGATIVE
721,101.2,93.5,NEGATIVE
721.5,101.1,93.4,NEGATIVE
722,100.9,93.3,NEUTRAL
722.5,100.8,93.2,NEUTRAL
723,100.7,93.2,NEUTRAL
723.5,100.7,93.3,NEUTRAL
724,100.7,93.2,NEUTRAL
724.5,100.8,93.2,NEUTRAL
725,100.8,93.2,NEUTRAL
725.5,100.8,93.2,NEUTRAL
726,100.7,93.2,NEUTRAL
726.5,100.6,93.2,NEUTRAL
727,100.5,93.1,NEUTRAL
727.5,100.4,93,NEUTRAL
728,100.3,92.8,NEUTRAL
728.5,100.2,92.7,NEUTRAL
729,100.1,92.5,NEUTRAL
729.5,100,92.4,NEUTRAL
730,99.9,92.2,NEUTRAL
730.5,99.8,92.1,NEUTRAL
731,99.8,92,NEUTRAL
731.5,99.7,91.9,NEUTRAL
732,99.7,91.9,NEUTRAL
732.5,99.7,91.9,NEUTRAL
733,99.7,91.9,NEUTRAL
733.5,99.8,91.9,NEUTRAL
734,99.8,91.9,NEUTRAL
734.5,99.7,91.9,NEUTRAL
735,99.7,91.9,NEUTRAL
735.5,99.8,91.8,NEUTRAL
736,99.9,91.8,NEUTRAL
736.5,99.9,91.7,NEUTRAL
737,99.9,91.7,NEUTRAL
737.5,99.8,91.7,NEUTRAL
738,99.8,91.7,NEUTRAL
738.5,99.8,91.6,NEUTRAL
739,99.9,91.6,NEUTRAL
739.5,100,91.7,NEUTRAL
740,100.1,91.8,NEUTRAL
740.5,100.2,91.9,NEUTRAL
741,100.2,91.9,NEUTRAL
741.5,100.1,91.9,NEUTRAL
742,100.1,91.9,NEUTRAL
742.5,100.1,92,NEUTRAL
743,100.1,92,NEUTRAL
743.5,100.1,92.1,NEUTRAL
744,100.3,92.3,NEUTRAL
744.5,100.4,92.4,NEUTRAL
745,100.5,92.5,NEUTRAL
745.5,100.6,92.5,NEUTRAL
746,100.7,92.5,NEUTRAL
746.5,100.7,92.6,NEUTRAL
747,100.7,92.6,NEUTRAL
747.5,100.6,92.6,NEUTRAL
748,100.5,92.6,NEUTRAL
748.5,100.4,92.6,NEUTRAL
749,100.3,92.7,NEUTRAL
749.5,100.3,92.7,NEUTRAL
750,100.3,92.7,NEUTRAL
750.5,100.3,92.7,NEUTRAL
751,100.3,92.8,NEUTRAL
751.5,100.4,92.9,NEUTRAL
752,100.4,93,NEUTRAL
752.5,100.5,93,NEUTRAL
753,100.5,93.1,NEUTRAL
753.5,100.5,93.3,NEUTRAL
754,100.6,93.4,NEUTRAL
754.5,100.6,93.5,NEUTRAL
755,100.6,93.5,NEUTRAL
755.5,100.6,93.5,NEUTRAL
756,100.5,93.5,NEUTRAL
756.5,100.4,93.4,NEUTRAL
757,100.3,93.4,NEUTRAL
757.5,100.2,93.4,NEUTRAL
758,100.2,93.4,NEUTRAL
758.5,100.2,93.5,NEUTRAL
759,100.2,93.6,NEUTRAL
759.5,100.2,93.6,NEUTRAL
760,100.2,93.6,NEUTRAL
760.5,100.1,93.6,NEUTRAL
761,100.2,93.5,NEUTRAL
761.5,100.2,93.4,NEUTRAL
762,100.1,93.3,NEUTRAL
762.5,100.1,93.3,NEUTRAL
763,100.1,93.3,NEUTRAL
763.5,100,93.2,NEUTRAL
764,100,93.1,NEUTRAL
764.5,100,93.1,NEUTRAL
765,100,93.1,NEUTRAL
765.5,100,93.1,NEUTRAL
766,100.1,93,NEUTRAL
766.5,100,92.9,NEUTRAL
767,99.8,92.8,NEUTRAL
767.5,99.6,92.7,NEUTRAL
768,99.5,92.7,NEUTRAL
768.5,99.4,92.7,NEUTRAL
769,99.3,92.7,NEUTRAL
769.5,99.2,92.7,NEUTRAL
770,99.2,92.7,NEUTRAL
770.5,99.2,92.7,NEUTRAL
771,99.2,92.7,NEUTRAL
771.5,99.3,92.7,NEUTRAL
772,99.4,92.8,NEUTRAL
772.5,99.5,92.7,NEUTRAL
773,99.5,92.7,NEUTRAL
773.5,99.5,92.7,NEUTRAL
774,99.6,92.7,NEUTRAL
774.5,99.6,92.7,NEUTRAL
775,99.6,92.6,NEUTRAL
775.5,99.6,92.6,NEUTRAL
776,99.7,92.6,NEUTRAL
776.5,99.7,92.5,NEUTRAL
777,99.7,92.5,NEUTRAL
777.5,99.7,92.4,NEUTRAL
778,99.6,92.3,NEUTRAL
778.5,99.7,92.2,NEUTRAL
779,99.7,92.1,NEUTRAL
779.5,99.8,92.1,NEUTRAL
780,99.8,92.1,NEUTRAL
780.5,99.8,92.1,NEUTRAL
781,99.8,92,NEUTRAL
781.5,99.8,92,NEUTRAL
782,99.9,91.9,NEUTRAL
782.5,100,91.8,NEUTRAL
783,100.1,91.8,NEUTRAL
783.5,100.2,91.8,NEUTRAL
784,100.2,91.9,NEUTRAL
784.5,100.3,91.9,NEUTRAL
785,100.3,92,NEUTRAL
785.5,100.4,92,NEUTRAL
786,100.4,92.2,NEUTRAL
786.5,100.5,92.3,NEUTRAL
787,100.5,92.3,NEUTRAL
787.5,100.5,92.4,NEUTRAL
788,100.5,92.4,NEUTRAL
788.5,100.4,92.4,NEUTRAL
789,100.4,92.3,NEUTRAL
789.5,100.4,92.2,NEUTRAL
790,100.5,92.2,NEUTRAL
790.5,100.6,92.2,NEUTRAL
791,100.7,92.1,NEUTRAL
791.5,100.8,92,NEUTRAL
792,100.8,91.9,NEUTRAL
792.5,100.8,91.8,NEUTRAL
793,100.8,91.7,NEUTRAL
793.5,100.8,91.6,NEUTRAL
794,100.8,91.4,NEUTRAL
794.5,100.7,91.2,NEUTRAL
795,100.6,91,NEUTRAL
795.5,100.5,90.8,NEUTRAL
796,100.4,90.5,NEUTRAL
796.5,100.4,90.4,NEUTRAL
797,100.3,90.2,NEUTRAL
797.5,100.2,90.1,NEUTRAL
798,100.2,90,NEUTRAL
798.5,100.2,89.9,NEUTRAL
799,100.2,89.8,NEUTRAL
799.5,100.2,89.7,NEUTRAL
800,100.2,89.6,NEUTRAL
800.5,100.2,89.6,NEUTRAL
801,100.2,89.7,NEUTRAL
801.5,100.2,89.8,NEUTRAL
802,100.2,89.9,NEUTRAL
802.5,100.2,90,NEUTRAL
803,100.2,90,NEUTRAL
803.5,100.1,89.9,NEUTRAL
804,100.1,89.8,NEUTRAL
804.5,100.2,89.7,NEUTRAL
805,100.1,89.6,NEUTRAL
805.5,100,89.5,NEUTRAL
806,99.9,89.4,NEUTRAL
806.5,99.8,89.2,NEUTRAL
807,99.7,89.1,NEUTRAL
807.5,99.7,89,NEUTRAL
808,99.6,88.9,NEUTRAL
808.5,99.5,88.7,NEUTRAL
809,99.4,88.5,NEUTRAL
809.5,99.2,88.3,NEUTRAL
810,99.1,88,NEUTRAL
810.5,99.1,87.7,NEUTRAL
811,99.1,87.4,NEUTRAL
811.5,99.1,87.2,NEUTRAL
812,99.1,87.2,NEUTRAL
812.5,99.1,87.1,NEUTRAL
813,99.1,87.1,NEUTRAL
813.5,99.1,87,NEUTRAL
814,99,86.9,NEUTRAL
814.5,98.9,86.9,POSITIVE
815,98.9,86.8,POSITIVE
815.5,98.9,86.8,POSITIVE
816,98.9,86.7,POSITIVE
816.5,98.9,86.6,POSITIVE
817,98.9,86.6,POSITIVE
817.5,99,86.6,NEUTRAL
818,99,86.6,NEUTRAL
818.5,98.9,86.7,POSITIVE
819,98.9,86.7,POSITIVE
819.5,98.9,86.8,POSITIVE
820,98.8,86.9,POSITIVE
820.5,98.8,86.9,POSITIVE
821,98.8,87,POSITIVE
821.5,98.8,87,POSITIVE
822,98.8,87,POSITIVE
822.5,98.7,86.9,POSITIVE
823,98.6,86.8,POSITIVE
823.5,98.6,86.7,POSITIVE
824,98.6,86.5,POSITIVE
824.5,98.6,86.4,POSITIVE
825,98.6,86.2,POSITIVE
825.5,98.6,86,POSITIVE
826,98.5,85.9,POSITIVE
826.5,98.4,85.8,POSITIVE
827,98.4,85.8,POSITIVE
827.5,98.4,85.8,POSITIVE
828,98.5,85.9,POSITIVE
828.5,98.6,85.9,POSITIVE
829,98.7,85.9,POSITIVE
829.5,98.8,86,POSITIVE
830,98.8,86,POSITIVE
830.5,98.8,86,POSITIVE
831,98.9,85.9,POSITIVE
831.5,98.9,85.9,POSITIVE
832,99,85.8,NEUTRAL
832.5,99.1,85.8,NEUTRAL
833,99.2,85.8,NEUTRAL
833.5,99.3,85.8,NEUTRAL
834,99.2,85.9,NEUTRAL
834.5,99.2,85.9,NEUTRAL
835,99.1,86,NEUTRAL
835.5,99.1,86.1,NEUTRAL
836,99,86.1,NEUTRAL
836.5,98.9,86.1,POSITIVE
837,98.9,86.1,POSITIVE
837.5,98.9,86.1,POSITIVE
838,98.9,86.1,POSITIVE
838.5,98.9,86.1,POSITIVE
839,98.9,86.1,POSITIVE
839.5,98.9,86,POSITIVE
840,98.9,86,POSITIVE
840.5,98.8,85.9,POSITIVE
841,98.8,85.7,POSITIVE
841.5,98.7,85.6,POSITIVE
842,98.7,85.5,POSITIVE
842.5,98.6,85.5,POSITIVE
843,98.6,85.5,POSITIVE
843.5,98.7,85.5,POSITIVE
844,98.7,85.5,POSITIVE
844.5,98.8,85.6,POSITIVE
845,98.7,85.6,POSITIVE
845.5,98.7,85.6,POSITIVE
846,98.7,85.6,POSITIVE
846.5,98.7,85.7,POSITIVE
847,98.7,85.8,POSITIVE
847.5,98.7,85.9,POSITIVE
848,98.6,85.9,POSITIVE
848.5,98.6,85.9,POSITIVE
849,98.6,85.8,POSITIVE
849.5,98.7,85.8,POSITIVE
850,98.7,85.8,POSITIVE
850.5,98.7,85.7,POSITIVE
851,98.7,85.6,POSITIVE
851.5,98.6,85.6,POSITIVE
852,98.5,85.5,POSITIVE
852.5,98.3,85.4,POSITIVE
853,98.3,85.3,POSITIVE
853.5,98.2,85.2,POSITIVE
854,98.1,85.2,POSITIVE
854.5,98.1,85.2,POSITIVE
855,98.1,85.2,POSITIVE
855.5,98.1,85.3,POSITIVE
856,98,85.4,POSITIVE
856.5,98,85.4,POSITIVE
857,97.9,85.5,POSITIVE
857.5,97.8,85.5,POSITIVE
858,97.8,85.4,POSITIVE
858.5,97.8,85.3,POSITIVE
859,97.8,85.2,POSITIVE
859.5,97.7,85.1,POSITIVE
860,97.7,85.1,POSITIVE
860.5,97.7,85.1,POSITIVE
861,97.7,85.1,POSITIVE
861.5,97.6,85,POSITIVE
862,97.5,85,POSITIVE
862.5,97.4,85,POSITIVE
863,97.5,85.1,POSITIVE
863.5,97.5,85.2,POSITIVE
864,97.6,85.2,POSITIVE
864.5,97.6,85.3,POSITIVE
865,97.6,85.4,POSITIVE
865.5,97.7,85.4,POSITIVE
866,97.7,85.4,POSITIVE
866.5,97.8,85.4,POSITIVE
867,97.8,85.4,POSITIVE
867.5,97.8,85.3,POSITIVE
868,97.8,85.2,POSITIVE
868.5,97.9,85.2,POSITIVE
869,97.9,85.2,POSITIVE
869.5,97.9,85.1,POSITIVE
870,97.8,85,POSITIVE
870.5,97.8,84.9,POSITIVE
871,97.8,84.8,POSITIVE
871.5,97.7,84.7,POSITIVE
872,97.6,84.7,POSITIVE
872.5,97.6,84.7,POSITIVE
873,97.5,84.7,POSITIVE
873.5,97.5,84.7,POSITIVE
874,97.4,84.7,POSITIVE
874.5,97.4,84.8,POSITIVE
875,97.5,84.8,POSITIVE
875.5,97.5,84.8,POSITIVE
876,97.5,84.9,POSITIVE
876.5,97.5,85,POSITIVE
877,97.5,85,POSITIVE
877.5,97.4,85,POSITIVE
878,97.4,85,POSITIVE
878.5,97.3,84.8,POSITIVE
879,97.3,84.7,POSITIVE
879.5,97.3,84.6,POSITIVE
880,97.3,84.5,POSITIVE
880.5,97.4,84.5,POSITIVE
881,97.5,84.6,POSITIVE
881.5,97.6,84.6,POSITIVE
882,97.6,84.7,POSITIVE
882.5,97.7,84.8,POSITIVE
883,97.7,84.9,POSITIVE
883.5,97.8,84.9,POSITIVE
884,97.8,84.9,POSITIVE
884.5,97.9,84.9,POSITIVE
885,98,85.1,POSITIVE
885.5,98,85.1,POSITIVE
886,98.1,85.2,POSITIVE
886.5,98,85.1,POSITIVE
887,98,85.1,POSITIVE
887.5,98.1,85.1,POSITIVE
888,98.1,85.1,POSITIVE
888.5,98.2,85.2,POSITIVE
889,98.3,85.3,POSITIVE
889.5,98.3,85.3,POSITIVE
890,98.2,85.3,POSITIVE
890.5,98.2,85.4,POSITIVE
891,98.2,85.5,POSITIVE
891.5,98.2,85.5,POSITIVE
892,98.2,85.5,POSITIVE
892.5,98.2,85.6,POSITIVE
893,98.2,85.7,POSITIVE
893.5,98.3,85.8,POSITIVE
894,98.5,86,POSITIVE
894.5,98.6,86.1,POSITIVE
895,98.7,86.4,POSITIVE
895.5,98.8,86.6,POSITIVE
896,98.9,86.7,POSITIVE
896.5,99,86.8,NEUTRAL
897,99.1,87,NEUTRAL
897.5,99.2,87.3,NEUTRAL
898,99.2,87.4,NEUTRAL
898.5,99.3,87.6,NEUTRAL
899,99.4,87.6,NEUTRAL
899.5,99.6,87.7,NEUTRAL
900,99.7,87.9,NEUTRAL
900.5,99.8,88,NEUTRAL
901,99.9,88.2,NEUTRAL
901.5,99.9,88.3,NEUTRAL
902,99.9,88.5,NEUTRAL
902.5,99.9,88.7,NEUTRAL
903,99.9,88.9,NEUTRAL
903.5,99.9,89,NEUTRAL
904,99.9,89.1,NEUTRAL
904.5,99.9,89.2,NEUTRAL
905,100,89.3,NEUTRAL
905.5,100,89.4,NEUTRAL
906,100.1,89.4,NEUTRAL
906.5,100,89.5,NEUTRAL
907,100.1,89.6,NEUTRAL
907.5,100.1,89.8,NEUTRAL
908,100,89.9,NEUTRAL
908.5,100,90,NEUTRAL
909,99.9,90,NEUTRAL
909.5,99.9,90.1,NEUTRAL
910,99.9,90.2,NEUTRAL
910.5,99.9,90.4,NEUTRAL
911,99.8,90.6,NEUTRAL
911.5,99.7,90.7,NEUTRAL
912,99.8,90.8,NEUTRAL
912.5,99.8,90.9,NEUTRAL
913,99.9,91,NEUTRAL
913.5,99.9,91.1,NEUTRAL
914,99.9,91,NEUTRAL
914.5,99.8,91,NEUTRAL
915,99.8,91.1,NEUTRAL
915.5,99.8,91.2,NEUTRAL
916,99.9,91.3,NEUTRAL
916.5,99.9,91.4,NEUTRAL
917,99.9,91.5,NEUTRAL
917.5,99.8,91.5,NEUTRAL
918,99.8,91.5,NEUTRAL
918.5,99.7,91.5,NEUTRAL
919,99.7,91.5,NEUTRAL
919.5,99.6,91.5,NEUTRAL
920,99.6,91.6,NEUTRAL
920.5,99.5,91.5,NEUTRAL
921,99.4,91.5,NEUTRAL
921.5,99.3,91.4,NEUTRAL
922,99.2,91.4,NEUTRAL
922.5,99.1,91.4,NEUTRAL
923,99,91.3,NEUTRAL
923.5,98.9,91.3,POSITIVE
924,98.8,91.2,POSITIVE
924.5,98.8,91.2,POSITIVE
925,98.8,91.2,POSITIVE
925.5,98.9,91.2,POSITIVE
926,99,91.2,NEUTRAL
926.5,99.1,91.3,NEUTRAL
927,99.1,91.3,NEUTRAL
927.5,99.2,91.4,NEUTRAL
928,99.2,91.4,NEUTRAL
928.5,99.2,91.5,NEUTRAL
929,99.3,91.6,NEUTRAL
929.5,99.4,91.7,NEUTRAL
930,99.4,91.7,NEUTRAL
930.5,99.5,91.7,NEUTRAL
931,99.5,91.8,NEUTRAL
931.5,99.6,91.8,NEUTRAL
932,99.7,91.8,NEUTRAL
932.5,99.7,91.7,NEUTRAL
933,99.8,91.7,NEUTRAL
933.5,99.8,91.6,NEUTRAL
934,99.9,91.5,NEUTRAL
934.5,100,91.5,NEUTRAL
935,100,91.4,NEUTRAL
935.5,100,91.4,NEUTRAL
936,100,91.3,NEUTRAL
936.5,100,91.2,NEUTRAL
937,100,91.1,NEUTRAL
937.5,100,91.1,NEUTRAL
938,100,91,NEUTRAL
938.5,100.1,90.9,NEUTRAL
939,100.1,90.7,NEUTRAL
939.5,100,90.4,NEUTRAL
940,99.9,90.2,NEUTRAL
940.5,99.8,90,NEUTRAL
941,99.9,89.9,NEUTRAL
941.5,99.9,89.7,NEUTRAL
942,99.9,89.6,NEUTRAL
942.5,99.8,89.4,NEUTRAL
943,99.8,89.1,NEUTRAL
943.5,99.8,88.9,NEUTRAL
944,99.9,88.7,NEUTRAL
944.5,99.9,88.5,NEUTRAL
945,99.9,88.3,NEUTRAL
945.5,100,88.2,NEUTRAL
946,100,88.1,NEUTRAL
946.5,100.1,88,NEUTRAL
947,100,88,NEUTRAL
947.5,100,87.9,NEUTRAL
948,100,87.8,NEUTRAL
948.5,100,87.7,NEUTRAL
949,99.9,87.5,NEUTRAL
949.5,99.8,87.3,NEUTRAL
950,99.8,87.2,NEUTRAL
950.5,99.7,87,NEUTRAL
951,99.6,86.8,NEUTRAL
951.5,99.5,86.6,NEUTRAL
952,99.4,86.4,NEUTRAL
952.5,99.3,86.2,NEUTRAL
953,99.2,86,NEUTRAL
953.5,99.2,85.8,NEUTRAL
954,99.1,85.6,NEUTRAL
954.5,99,85.4,NEUTRAL
955,99,85.2,NEUTRAL
955.5,98.9,85,POSITIVE
956,98.9,84.9,POSITIVE
956.5,98.9,84.8,POSITIVE
957,98.8,84.7,POSITIVE
957.5,98.7,84.6,POSITIVE
958,98.7,84.4,POSITIVE
